Method	\lambda	\alpha	F1-score
mean	0.1	None	0.46851940437917583
fuzzy	0.1	1.0	0.4646108293011506
fuzzy	0.1	0.0	0.4578321888125875
fuzzy	0.1	0.1	0.45594916243168726
fuzzy	0.1	0.4	0.45278794436775094
sum	0.4	None	0.45129350791052913
fuzzy	0.1	0.7	0.45100554641714674
sum	0.1	None	0.44914295534478826
cone	-0.4	None	0.41753391183429356
arcone	-0.7	None	0.4144281639184582
cone	-0.7	None	0.41308066997570736
arcone	-0.4	None	0.4109469795458485
fuzzy	0.0	1.0	0.4036937625483619
fuzzy	0.0	0.7	0.4014401866063202
fuzzy	0.4	0.7	0.39858603745884835
fuzzy	0.4	0.4	0.3961005994933905
fuzzy	0.0	0.4	0.3952426744795314
sum	0.0	None	0.3951713830211239
mean	0.0	None	0.3951713830211239
sum	0.7	None	0.3932100792283998
fuzzy	0.0	0.1	0.39211733462095605
fuzzy	0.0	0.0	0.3906369879652427
arcone	-1.0	None	0.39017144117763236
fuzzy	0.4	0.0	0.3866026604576223
cone	-1.0	None	0.3862832700975859
triang	1.0	None	0.3856156976070317
fuzzy	0.4	0.1	0.38557429929424275
mean	0.4	None	0.38274443008314685
fuzzy	0.4	1.0	0.3812994431240395
triang	0.7	None	0.3691346499749534
sum	1.0	None	0.36414889317004284
fuzzy	0.7	0.7	0.34933312380229
fuzzy	0.7	0.4	0.34748101922989816
fuzzy	0.7	1.0	0.3403841596421029
mean	0.7	None	0.3395844867648411
fuzzy	0.7	0.0	0.3394148490758165
fuzzy	0.7	0.1	0.3388499790085214
arcone	0.7	None	0.3343058343421686
triang	0.4	None	0.3334932218517819
cone	0.7	None	0.3334932218517819
arcone	0.1	None	0.3326413992952437
cone	0.4	None	0.3326296751118117
cone	0.1	None	0.33247493212926993
cone	0.0	None	0.3323180925045779
arcone	0.0	None	0.3323180925045779
arcone	0.4	None	0.33213000241092894
triang	-1.0	None	0
triang	-0.7	None	0
triang	-0.4	None	0
triang	0.1	None	0
triang	0.0	None	0
sum	-1.0	None	0
sum	-0.7	None	0
sum	-0.4	None	0
mean	1.0	None	0
mean	-1.0	None	0
mean	-0.7	None	0
mean	-0.4	None	0
fuzzy	1.0	1.0	0
fuzzy	-1.0	1.0	0
fuzzy	1.0	0.7	0
fuzzy	-1.0	0.7	0
fuzzy	1.0	0.4	0
fuzzy	-1.0	0.4	0
fuzzy	1.0	0.1	0
fuzzy	-1.0	0.1	0
fuzzy	1.0	0.0	0
fuzzy	-1.0	0.0	0
fuzzy	-0.7	1.0	0
fuzzy	-0.7	0.7	0
fuzzy	-0.7	0.4	0
fuzzy	-0.7	0.1	0
fuzzy	-0.7	0.0	0
fuzzy	-0.4	1.0	0
fuzzy	-0.4	0.7	0
fuzzy	-0.4	0.4	0
fuzzy	-0.4	0.1	0
fuzzy	-0.4	0.0	0
cone	1.0	None	0
arcone	1.0	None	0
