Method	\lambda	\alpha	F1-score
arcone	--0.4	-None	0.5855639123817388
cone	--0.4	-None	0.581080840268339
arcone	--0.7	-None	0.5551250096845002
cone	--0.7	-None	0.5288947356781211
arcone	--1.0	-None	0.5077591381576528
arcone	-0.0	-None	0.4790755416323939
cone	-0.0	-None	0.47882047179843035
mean	-0.1	-None	0.4698514054447702
cone	--1.0	-None	0.4675078710196626
fuzzy	-0.1	-1.0	0.46515386944815096
fuzzy	-0.1	-0.0	0.45944417915195124
fuzzy	-0.1	-0.1	0.4569922808798194
fuzzy	-0.1	-0.7	0.4532859644584763
fuzzy	-0.1	-0.4	0.45322488163761676
sum	-0.4	-None	0.4516230979358361
sum	-0.1	-None	0.4512729064217182
arcone	-0.1	-None	0.4203624311711799
cone	-0.1	-None	0.41728356596489985
fuzzy	-0.0	-1.0	0.4056557437224845
fuzzy	-0.0	-0.7	0.4049952698472556
fuzzy	-0.4	-0.7	0.40028916804013304
fuzzy	-0.0	-0.4	0.39874920161805405
sum	-0.0	-None	0.3982013743107569
fuzzy	-0.4	-0.4	0.39723490992913857
mean	-0.0	-None	0.39568235664463114
fuzzy	-0.0	-0.0	0.3939586605227359
fuzzy	-0.0	-0.1	0.39379282938521454
sum	-0.7	-None	0.39359714914962995
triang	-1.0	-None	0.38781627628337945
fuzzy	-0.4	-0.0	0.38731293852117166
fuzzy	-0.4	-0.1	0.3850853892244621
mean	-0.4	-None	0.38263824934706986
fuzzy	-0.4	-1.0	0.3821646717064202
triang	-0.7	-None	0.36871903623155705
sum	-1.0	-None	0.3633186571271326
arcone	-0.4	-None	0.35069600646777727
fuzzy	-0.7	-0.4	0.34944985569985565
fuzzy	-0.7	-0.7	0.3493778767321369
cone	-0.4	-None	0.3491079547386805
mean	-0.7	-None	0.3427107090581067
fuzzy	-0.7	-0.0	0.3421925498662885
fuzzy	-0.7	-1.0	0.3411236082668152
fuzzy	--1.0	-1.0	0.3396636674084187
fuzzy	-0.7	-0.1	0.3395766532866934
fuzzy	--1.0	-0.4	0.33902274905451396
fuzzy	--0.4	-0.7	0.33902274905451396
cone	-0.7	-None	0.33902274905451396
sum	--1.0	-None	0.3388555526177811
mean	--1.0	-None	0.3385461314855774
fuzzy	--0.7	-0.4	0.3383796351813143
fuzzy	--0.7	-0.1	0.3382130634876291
fuzzy	--0.4	-0.4	0.3382130634876291
mean	--0.4	-None	0.3380464163352444
fuzzy	--1.0	-0.0	0.33771289537712895
fuzzy	--0.4	-0.1	0.3375683726259848
mean	--0.7	-None	0.3374023525154079
fuzzy	--0.7	-0.0	0.3374023525154079
fuzzy	--1.0	-0.1	0.3372362562012639
arcone	-0.7	-None	0.33707008361597485
fuzzy	--0.7	-0.7	0.33692147081036744
fuzzy	--1.0	-0.7	0.3367560807314128
fuzzy	--0.7	-1.0	0.3367560807314128
sum	--0.4	-None	0.3365906137663921
triang	-0.4	-None	0.33637577932188556
fuzzy	-1.0	-0.0	0.33637577932188556
sum	--0.7	-None	0.33577784486228507
fuzzy	-1.0	-0.7	0.3357379490521598
arcone	-1.0	-None	0.33561285490679954
fuzzy	--0.4	-1.0	0.33544778718359486
fuzzy	-1.0	-0.4	0.3354301866691105
cone	-1.0	-None	0.3349640434179256
fuzzy	--0.4	-0.0	0.33479960899315736
triang	--0.7	-None	0.3345989890824692
triang	--0.4	-None	0.3342901302320805
fuzzy	-1.0	-1.0	0.3342901302320805
triang	--1.0	-None	0.33395866753055253
triang	-0.1	-None	0.33395866753055253
triang	-0.0	-None	0.33300039884022636
mean	-1.0	-None	0.33283596529890463
fuzzy	-1.0	-0.1	0.3326714520539899
