Method	\lambda	\alpha	F1-score
sum	0.1	None	0.5036189566463323
cone	0.0	None	0.4901126345328164
arcone	0.0	None	0.4901126345328164
fuzzy	0.1	0.4	0.46699357907105543
fuzzy	0.1	0.7	0.46356221968441635
fuzzy	0.1	0.1	0.45906726210185417
fuzzy	0.1	1.0	0.4561541444660539
fuzzy	0.0	0.0	0.45506943946016765
fuzzy	0.0	0.1	0.45181352426354404
fuzzy	0.1	0.0	0.45171933042774653
fuzzy	0.0	1.0	0.44175553732567674
mean	0.1	None	0.4340763025716897
arcone	-0.4	None	0.4322295377284659
fuzzy	0.0	0.4	0.425647334445047
arcone	0.1	None	0.4158812452143371
sum	0.0	None	0.4111973589987225
mean	0.0	None	0.4111973589987225
fuzzy	0.0	0.7	0.4068371230494541
cone	0.1	None	0.40611573576799137
cone	-0.4	None	0.4036211714586957
arcone	-0.7	None	0.38141301558590457
triang	1.0	None	0.37681681519913
cone	-0.7	None	0.3697975470117962
sum	0.4	None	0.36882911746449526
arcone	-1.0	None	0.3567932969707319
fuzzy	0.4	0.4	0.3533545913809917
cone	-1.0	None	0.35211865960642835
fuzzy	0.4	0.7	0.35000126234999074
sum	0.7	None	0.3456878153437246
fuzzy	0.4	0.1	0.3422891055532005
triang	0.7	None	0.3406316572341688
fuzzy	0.4	0.0	0.34060860425837625
mean	0.4	None	0.3392451379595091
arcone	0.4	None	0.33844553850953013
fuzzy	0.4	1.0	0.33781357807151413
cone	0.4	None	0.3349317008869725
fuzzy	0.7	0.4	0.33447050451768834
cone	0.7	None	0.33398532972170486
sum	1.0	None	0.33397625780315215
fuzzy	0.7	0.1	0.3336573371876142
arcone	0.7	None	0.3336573371876142
triang	-1.0	None	0
triang	-0.7	None	0
triang	0.4	None	0
triang	-0.4	None	0
triang	0.1	None	0
triang	0.0	None	0
sum	-1.0	None	0
sum	-0.7	None	0
sum	-0.4	None	0
mean	1.0	None	0
mean	-1.0	None	0
mean	0.7	None	0
mean	-0.7	None	0
mean	-0.4	None	0
fuzzy	1.0	1.0	0
fuzzy	-1.0	1.0	0
fuzzy	1.0	0.7	0
fuzzy	-1.0	0.7	0
fuzzy	1.0	0.4	0
fuzzy	-1.0	0.4	0
fuzzy	1.0	0.1	0
fuzzy	-1.0	0.1	0
fuzzy	1.0	0.0	0
fuzzy	-1.0	0.0	0
fuzzy	0.7	1.0	0
fuzzy	-0.7	1.0	0
fuzzy	0.7	0.7	0
fuzzy	-0.7	0.7	0
fuzzy	-0.7	0.4	0
fuzzy	-0.7	0.1	0
fuzzy	0.7	0.0	0
fuzzy	-0.7	0.0	0
fuzzy	-0.4	1.0	0
fuzzy	-0.4	0.7	0
fuzzy	-0.4	0.4	0
fuzzy	-0.4	0.1	0
fuzzy	-0.4	0.0	0
cone	1.0	None	0
arcone	1.0	None	0
