Method	\lambda	\alpha	F1-score
fuzzy	0.0	1.0	0.4914730887589676
sum	0.0	None	0.49091889086465784
mean	0.0	None	0.49091889086465784
fuzzy	0.0	0.7	0.49066394246418854
cone	0.0	None	0.48650209875329653
arcone	0.0	None	0.48650209875329653
fuzzy	0.0	0.4	0.47531520454329307
fuzzy	0.0	0.0	0.4633431910998452
sum	0.1	None	0.46248048268210973
fuzzy	0.0	0.1	0.4585344675308029
triang	1.0	None	0.44950142977444124
arcone	-0.4	None	0.4417213309392667
fuzzy	0.1	0.4	0.44007046391132976
fuzzy	0.1	0.1	0.4357054972340333
fuzzy	0.1	0.0	0.43107961221392926
fuzzy	0.1	0.7	0.42756101551229236
cone	-0.4	None	0.41906680618048703
mean	0.1	None	0.417141243040812
arcone	0.1	None	0.41297219740415214
cone	0.1	None	0.40652433557317874
fuzzy	0.1	1.0	0.40394588327197684
arcone	-0.7	None	0.3945135337569089
cone	-0.7	None	0.3768664974890939
arcone	-1.0	None	0.36693570049419705
sum	0.4	None	0.3653367875647668
cone	-1.0	None	0.3576691758659566
fuzzy	0.4	0.7	0.3533545913809917
fuzzy	0.4	0.4	0.35130937967969283
arcone	0.4	None	0.3499816306344496
sum	0.7	None	0.3480923086417675
fuzzy	0.4	0.1	0.34533486640154437
triang	0.7	None	0.34445651214266426
mean	0.4	None	0.34377259045867464
cone	0.4	None	0.34374513280378244
fuzzy	0.4	0.0	0.34342471357344245
fuzzy	0.4	1.0	0.34298305718201066
sum	1.0	None	0.3347867373301943
arcone	0.7	None	0.3344557441275697
fuzzy	0.7	0.4	0.3343058343421686
fuzzy	0.7	0.1	0.3334932218517819
fuzzy	0.7	0.0	0.3334932218517819
cone	0.7	None	0.3331647527388967
triang	-1.0	None	0
triang	-0.7	None	0
triang	0.4	None	0
triang	-0.4	None	0
triang	0.1	None	0
triang	0.0	None	0
sum	-1.0	None	0
sum	-0.7	None	0
sum	-0.4	None	0
mean	1.0	None	0
mean	-1.0	None	0
mean	0.7	None	0
mean	-0.7	None	0
mean	-0.4	None	0
fuzzy	1.0	1.0	0
fuzzy	-1.0	1.0	0
fuzzy	1.0	0.7	0
fuzzy	-1.0	0.7	0
fuzzy	1.0	0.4	0
fuzzy	-1.0	0.4	0
fuzzy	1.0	0.1	0
fuzzy	-1.0	0.1	0
fuzzy	1.0	0.0	0
fuzzy	-1.0	0.0	0
fuzzy	0.7	1.0	0
fuzzy	-0.7	1.0	0
fuzzy	0.7	0.7	0
fuzzy	-0.7	0.7	0
fuzzy	-0.7	0.4	0
fuzzy	-0.7	0.1	0
fuzzy	-0.7	0.0	0
fuzzy	-0.4	1.0	0
fuzzy	-0.4	0.7	0
fuzzy	-0.4	0.4	0
fuzzy	-0.4	0.1	0
fuzzy	-0.4	0.0	0
cone	1.0	None	0
arcone	1.0	None	0
