Method	\lambda	\alpha	F1-score
cone	0.0	None	0.506380874566
arcone	0.0	None	0.492316591826
arcone	0.1	None	0.481153902466
arcone	0.4	None	0.479457900349
cone	0.1	None	0.477218818178
mean	0.0	None	0.474562765862
cone	-1.0	None	0.469325096078
cone	0.7	None	0.4674914153
mean	-0.4	None	0.467364995531
mean	0.7	None	0.464931137423
arcone	1.0	None	0.464839172271
arcone	-0.4	None	0.463202073673
cone	0.4	None	0.463010931115
triang	1.0	None	0.462960766421
fuzzy	0.1	0.0	0.462771341742
fuzzy	-1.0	0.1	0.462104015556
mean	-0.7	None	0.461240840659
arcone	0.7	None	0.4611290886
sum	-0.4	None	0.458124051754
mean	-1.0	None	0.457823165278
triang	0.7	None	0.457461729265
fuzzy	-1.0	0.0	0.457271731146
fuzzy	0.1	0.1	0.457197500594
sum	-1.0	None	0.457132966494
cone	-0.4	None	0.456565683571
fuzzy	-0.4	0.1	0.45632269592
mean	1.0	None	0.456288807142
fuzzy	0.0	0.0	0.456015931182
fuzzy	1.0	0.0	0.455863678394
mean	0.1	None	0.455784560019
sum	0.1	None	0.455168438075
fuzzy	0.7	0.0	0.453948163013
fuzzy	0.4	0.0	0.453918357857
sum	-0.7	None	0.453080317348
cone	-0.7	None	0.452705915216
triang	0.4	None	0.452419074425
fuzzy	-0.7	0.1	0.452194160245
cone	1.0	None	0.45195904995
mean	0.4	None	0.451000965862
sum	0.0	None	0.450976304101
arcone	-0.7	None	0.450775641831
triang	0.0	None	0.450688966621
fuzzy	-0.4	0.0	0.448824234009
sum	0.4	None	0.448444983547
fuzzy	-0.7	0.0	0.448043180098
triang	0.1	None	0.447462653696
triang	-0.4	None	0.447074398603
triang	-1.0	None	0.446549384116
arcone	-1.0	None	0.443352557454
triang	-0.7	None	0.443099441461
sum	0.7	None	0.442134048384
sum	1.0	None	0.439932769777
fuzzy	0.0	0.1	
