Method	\lambda	\alpha	F1-score
infocone	0.0	None	0.5104488657179014
fuzzy	0.4	1.0	0.5031893152972706
infocone	-0.7	None	0.5006429068507341
cone	0.0	None	0.49854723987741045
fuzzy	0.7	1.0	0.4976952027473978
infocone	-0.4	None	0.4973886305158743
fuzzy	1.0	1.0	0.49692618964242635
infocone	-1.0	None	0.4955075707684239
fuzzy	0.1	1.0	0.49446868414354317
arcone	0.0	None	0.49225629326452147
infocone	0.4	None	0.48701613226497537
infocone	0.1	None	0.48643585336228035
arcone	-0.4	None	0.47792336412965136
fuzzy	0.0	0.4	0.47786236900941215
fuzzy	-0.4	0.0	0.47311893460065857
fuzzy	-0.4	0.2	0.47234087843878836
fuzzy	-1.0	1.0	0.4713637568259531
arcone	-0.7	None	0.4689090982166019
infocone	0.7	None	0.4683109846632153
fuzzy	-0.7	0.7	0.4677736647058399
fuzzy	-1.0	0.0	0.4664740536558495
fuzzy	-1.0	0.3	0.46628697369041394
fuzzy	0.0	0.5	0.46625100905581723
fuzzy	0.1	0.5	0.46616571361134657
fuzzy	0.4	0.6	0.46597243692921464
fuzzy	0.1	0.3	0.46584098944753116
mean	0.7	None	0.4655761509644792
sum	-0.7	None	0.4651181680295854
cone	-1.0	None	0.4649308892144791
fuzzy	0.1	0.6	0.46458620244830834
fuzzy	0.1	0.4	0.46444614412330354
fuzzy	0.1	0.7	0.4641195642531955
fuzzy	0.4	0.4	0.4639820455236573
sum	0.1	None	0.4631972563411562
mean	0.1	None	0.4629168935946313
fuzzy	-0.4	0.7	0.46259806954648497
fuzzy	0.7	0.0	0.4625431810993903
cone	-0.4	None	0.4621882335107789
mean	-0.4	None	0.4621479204612783
sum	0.4	None	0.46203143990451656
fuzzy	0.0	0.6	0.461797768830992
fuzzy	-0.4	0.1	0.46110090091430744
sum	0.7	None	0.46095268021235625
fuzzy	-0.7	0.6	0.46057841174163444
mean	-1.0	None	0.46055431727909163
cone	0.4	None	0.46021360704969416
triang	1.0	None	0.46019771421818995
fuzzy	0.1	0.1	0.4601518782749564
mean	0.0	None	0.4598557889936636
fuzzy	0.4	0.7	0.4597826673275328
fuzzy	-0.4	0.5	0.45975216756500853
fuzzy	-0.7	0.4	0.45947669091412635
fuzzy	-0.4	1.0	0.4593545227971656
fuzzy	-0.7	0.1	0.45916204321464527
arcone	0.7	None	0.4591205173427396
fuzzy	0.7	0.5	0.4590825537933715
sum	0.0	None	0.4589729903480084
fuzzy	0.7	0.7	0.4589582861867714
fuzzy	0.7	0.4	0.45878283622968274
fuzzy	-1.0	0.4	0.45867472754753
fuzzy	1.0	0.0	0.45819555449241106
sum	-1.0	None	0.45817027965119533
infocone	1.0	None	0.458072215317891
arcone	0.1	None	0.45746367919315767
fuzzy	0.0	0.3	0.4572977967818757
fuzzy	0.0	0.2	0.4572977967818757
fuzzy	0.0	0.0	0.45715349895739543
sum	-0.4	None	0.45699596453803437
fuzzy	-1.0	0.6	0.45656485825756926
fuzzy	0.7	0.2	0.45632931433442947
fuzzy	-0.7	0.3	0.4562904108627819
fuzzy	1.0	0.6	0.4557686519122645
fuzzy	0.0	1.0	0.4553953631070485
fuzzy	1.0	0.5	0.4552803513270424
triang	0.0	None	0.45500377572653417
triang	-0.7	None	0.4547886136188317
arcone	-1.0	None	0.45470439815142627
fuzzy	0.4	0.0	0.45468536410518123
fuzzy	-1.0	0.2	0.4546430407861907
fuzzy	0.1	0.2	0.45462313150382594
fuzzy	-0.7	0.0	0.45426562752263955
fuzzy	-0.7	1.0	0.45422090154650363
mean	-0.7	None	0.4541567261671301
fuzzy	1.0	0.3	0.4540445268607777
fuzzy	0.4	0.5	0.4537919040085352
fuzzy	0.0	0.7	0.4534761486930374
fuzzy	-0.4	0.4	0.45337163593718344
fuzzy	-0.4	0.6	0.4530609839813563
triang	0.1	None	0.45283864048920996
fuzzy	-0.4	0.3	0.4528247818908374
triang	0.7	None	0.45266757665154916
fuzzy	0.0	0.1	0.4526099416521266
fuzzy	-1.0	0.5	0.4523763246548325
fuzzy	-0.7	0.5	0.45219416024507664
fuzzy	0.7	0.3	0.452021883551719
triang	-0.4	None	0.45199335159304255
fuzzy	-1.0	0.7	0.45182598312144323
fuzzy	0.4	0.1	0.4511193415637861
arcone	1.0	None	0.45109514222991637
cone	0.7	None	0.4506889666208771
fuzzy	1.0	0.1	0.45040030901046424
fuzzy	0.1	0.0	0.45038689437432267
cone	-0.7	None	0.4499955464858104
mean	1.0	None	0.449579854828816
cone	1.0	None	0.44930654372061024
fuzzy	-0.7	0.2	0.44919670196364025
fuzzy	0.7	0.1	0.4487598143710002
arcone	0.4	None	0.44823179071461033
fuzzy	0.4	0.3	0.4476659210773188
fuzzy	-1.0	0.1	0.44754727355082946
sum	1.0	None	0.44750020829381654
fuzzy	1.0	0.2	0.4459002361602342
cone	0.1	None	0.44558172088699155
fuzzy	1.0	0.7	0.4436635002155601
triang	-1.0	None	0.4434708797880153
fuzzy	0.7	0.6	0.4423180482069371
mean	0.4	None	0.44223666066302697
fuzzy	0.4	0.2	0.4394526189922609
fuzzy	1.0	0.4	0.4391567493849333
triang	0.4	None	0.43891269316990833
