Method	\lambda	\alpha	F1-score
fuzzy	0.4	1.0	0.5035906497211775
fuzzy	0.7	1.0	0.502672607444788
fuzzy	0.1	1.0	0.49500984401029835
fuzzy	1.0	1.0	0.4943161144778334
infocone	0.1	None	0.4917193867476337
arcone	0.0	None	0.4902019350026453
cone	0.0	None	0.48876205609648665
infocone	0.0	None	0.4850084254116781
infocone	-0.4	None	0.48275237024506634
infocone	0.4	None	0.4816650700321964
infocone	-1.0	None	0.4790286536121252
infocone	-0.7	None	0.4784359561210356
cone	-0.4	None	0.47650692581110066
fuzzy	-0.7	0.3	0.47635741571742735
fuzzy	0.0	0.1	0.47488606064002165
triang	1.0	None	0.4740679801462789
infocone	0.7	None	0.4726540575745437
arcone	-0.4	None	0.47242965069199055
fuzzy	0.0	0.3	0.4713637568259531
arcone	-1.0	None	0.4704013486540827
fuzzy	0.7	0.3	0.4692432872851663
sum	-0.4	None	0.468575814419923
fuzzy	-0.4	0.0	0.46840683867511823
mean	-1.0	None	0.46736323128609014
fuzzy	-0.4	0.3	0.4673287574200775
fuzzy	-1.0	0.3	0.4672769519949679
fuzzy	0.0	0.7	0.4663548120893801
fuzzy	-1.0	0.2	0.46579927240845675
fuzzy	-0.4	0.4	0.46552145796590244
arcone	-0.7	None	0.46533755473578514
fuzzy	0.1	0.7	0.46490841586563053
fuzzy	-0.4	0.2	0.46478423837184313
sum	0.1	None	0.46458564624208276
fuzzy	0.1	0.2	0.46415155396750485
infocone	1.0	None	0.4636604177222316
fuzzy	0.1	0.1	0.46266857351552737
fuzzy	-1.0	0.0	0.4625664819773684
mean	-0.4	None	0.4622891233060724
mean	1.0	None	0.4621040155557632
fuzzy	0.0	0.5	0.461984844162031
fuzzy	-0.4	0.6	0.4619080745143842
cone	-0.7	None	0.46146895429134194
fuzzy	0.0	0.0	0.4613505118926516
fuzzy	0.7	0.0	0.46077813237163245
fuzzy	-1.0	0.7	0.46050194263113403
fuzzy	-0.4	0.5	0.46030302775678356
fuzzy	-0.7	0.5	0.46027865428072257
fuzzy	-0.7	0.0	0.4601031866749291
fuzzy	1.0	0.6	0.4598378795224304
fuzzy	0.1	0.0	0.4595027414325127
fuzzy	-1.0	0.1	0.4593545227971656
sum	0.0	None	0.4593045227498921
mean	0.4	None	0.45930452274989203
fuzzy	-1.0	0.4	0.45924796860378425
triang	-0.4	None	0.4589729903480084
fuzzy	-0.7	0.2	0.4589582861867714
cone	-1.0	None	0.45893875918891147
cone	0.7	None	0.45871599293030735
fuzzy	-0.7	0.7	0.4586979809991828
fuzzy	-0.4	1.0	0.4586979809991828
fuzzy	0.0	0.6	0.4586271665120003
arcone	0.7	None	0.45832039976484423
mean	0.1	None	0.4582511049127612
fuzzy	0.4	0.7	0.45789545762038253
triang	-1.0	None	0.45770719489981787
fuzzy	1.0	0.5	0.45715349895739543
fuzzy	1.0	0.2	0.45708603762974764
fuzzy	0.1	0.4	0.4570780581829812
fuzzy	-1.0	0.6	0.456939070768106
fuzzy	0.1	0.5	0.4568241104302814
sum	-0.7	None	0.45674679670314244
fuzzy	1.0	0.4	0.45641779894271717
triang	0.0	None	0.45567076280083596
sum	-1.0	None	0.4552803513270424
fuzzy	-0.7	0.1	0.45523347690819244
fuzzy	0.1	0.6	0.4551024848774968
cone	0.1	None	0.45499692604415404
mean	-0.7	None	0.45439051887983867
sum	1.0	None	0.4538283657133899
sum	0.4	None	0.45373033268648166
fuzzy	0.0	1.0	0.45324459210159934
triang	0.4	None	0.45296945486982143
fuzzy	0.7	0.4	0.4528707907680666
arcone	0.4	None	0.45282330743790444
fuzzy	0.7	0.7	0.45269428238365295
fuzzy	1.0	0.7	0.4526394621939849
fuzzy	-0.4	0.7	0.45257901763775765
fuzzy	1.0	0.0	0.45227004085785244
arcone	1.0	None	0.4519427890100235
fuzzy	0.0	0.4	0.45192335229946023
fuzzy	-0.7	0.6	0.4506889666208772
mean	0.0	None	0.4506727472111796
fuzzy	0.4	0.1	0.45020557011024653
fuzzy	1.0	0.1	0.4499109632371892
fuzzy	-0.7	0.4	0.4498146448241773
cone	1.0	None	0.449693483135525
fuzzy	-1.0	0.5	0.44969348313552493
fuzzy	0.4	0.2	0.4496037877191751
fuzzy	0.4	0.0	0.4494455276188951
fuzzy	0.7	0.2	0.44899295738310485
fuzzy	-0.4	0.1	0.44877807748697884
fuzzy	0.4	0.5	0.44855198834809173
fuzzy	0.4	0.4	0.4481156541926571
fuzzy	-1.0	1.0	0.44806982196991674
fuzzy	1.0	0.3	0.44779456622599745
triang	0.1	None	0.4475192717730031
triang	-0.7	None	0.4474626536959784
fuzzy	0.7	0.1	0.447299111053446
mean	0.7	None	0.44723857832009084
fuzzy	0.0	0.2	0.447217307577644
fuzzy	0.4	0.3	0.4471745228033046
fuzzy	0.1	0.3	0.44669692125581584
fuzzy	0.7	0.5	0.44659205523662604
cone	0.4	None	0.4463727454614675
fuzzy	-0.7	1.0	0.44581038459727906
arcone	0.1	None	0.44185490513618786
sum	0.7	None	0.44183349684900874
fuzzy	0.7	0.6	0.43835497204309626
triang	0.7	None	0.437929474654858
fuzzy	0.4	0.6	0.4374060626925952
