Method	\lambda	\alpha	F1-score
arcone	-0.4	None	0.5722413009153944
cone	-0.4	None	0.5648174338666634
arcone	-0.7	None	0.5335539063838761
cone	-0.7	None	0.5083350280901324
mean	0.1	None	0.48232972801542184
fuzzy	0.1	0.1	0.47614823272089574
fuzzy	0.1	0.0	0.47484819187774396
fuzzy	0.1	0.4	0.4748442385073002
arcone	-1.0	None	0.47355318621373665
fuzzy	0.1	0.7	0.4721671131232002
fuzzy	0.1	1.0	0.4589610978578327
arcone	0.0	None	0.453126079645762
cone	0.0	None	0.4531188314883384
sum	0.1	None	0.4475192042936085
cone	-1.0	None	0.4388942320022569
sum	0.4	None	0.4385505364751199
fuzzy	0.0	0.0	0.40256498891058295
fuzzy	0.0	0.1	0.3956564476596802
cone	0.1	None	0.39399652315606476
arcone	0.1	None	0.39386759763058676
fuzzy	0.4	0.7	0.39271159981356357
sum	0.7	None	0.39121996016096056
fuzzy	0.4	0.4	0.3904244159390822
fuzzy	0.4	0.1	0.3902240620970464
fuzzy	0.0	1.0	0.38893938360518804
fuzzy	0.4	1.0	0.3865359954861378
fuzzy	0.4	0.0	0.3852364719416742
mean	0.4	None	0.381521856777834
fuzzy	0.0	0.7	0.379479748042476
sum	0.0	None	0.37734826676324146
mean	0.0	None	0.3744016336166649
fuzzy	0.0	0.4	0.3724429524815407
triang	0.7	None	0.371787282742562
sum	1.0	None	0.36123279098873584
triang	1.0	None	0.36018251922282857
arcone	0.4	None	0.3578570828549828
fuzzy	0.7	0.7	0.3506896782617429
fuzzy	-1.0	0.7	0.35058773039998703
cone	0.7	None	0.3503359435165129
fuzzy	-0.7	0.0	0.3502320103805252
fuzzy	1.0	0.1	0.3501204302436383
sum	-0.7	None	0.3499416490073126
cone	0.4	None	0.34987603541603696
fuzzy	0.7	1.0	0.3495838953699768
fuzzy	-1.0	0.1	0.34902006499929344
fuzzy	1.0	0.7	0.3489849774090894
arcone	1.0	None	0.3487395113325408
triang	-0.4	None	0.3487395113325407
fuzzy	0.7	0.4	0.3486103110536329
fuzzy	-0.4	0.7	0.34858717159984365
sum	-0.4	None	0.3484894584606148
fuzzy	-0.7	0.1	0.3484894584606148
fuzzy	-0.7	0.7	0.34831245945107325
fuzzy	1.0	0.4	0.3479582656090046
mean	1.0	None	0.3477810705839499
triang	0.1	None	0.3477057232863775
fuzzy	-0.4	1.0	0.34753662162008836
fuzzy	-1.0	0.4	0.34718670846839195
fuzzy	-1.0	1.0	0.3471760653909084
fuzzy	1.0	0.0	0.34692102722287865
triang	0.0	None	0.3468226298353591
fuzzy	-0.4	0.1	0.3467450542485077
mean	-0.7	None	0.34664581268582756
fuzzy	-0.4	0.4	0.3465690147125252
triang	-0.7	None	0.3462167355825188
fuzzy	-0.7	1.0	0.3459599102651493
arcone	0.7	None	0.3456087928384804
triang	0.4	None	0.34534874371681695
mean	0.7	None	0.34522887807943264
fuzzy	0.7	0.1	0.34522887807943264
fuzzy	0.7	0.0	0.3451582910161965
fuzzy	1.0	1.0	0.3449987933074199
mean	-0.4	None	0.3449097930847027
cone	1.0	None	0.34429388738331834
fuzzy	-1.0	0.0	0.34412019074580125
sum	-1.0	None	0.343675891570503
fuzzy	-0.7	0.4	0.3430765593919611
triang	-1.0	None	0.34281382331741594
mean	-1.0	None	0.3428096742304409
fuzzy	-0.4	0.0	0.341917650086746
