Method	\lambda	\alpha	F1-score
arcone	--0.4	-None	0.536950169573
cone	--0.4	-None	0.509770943317
cone	-0.0	-None	0.480625643343
arcone	-0.0	-None	0.479177820859
sum	-0.4	-None	0.454219221278
arcone	--0.7	-None	0.413480783931
fuzzy	-0.4	-0.4	0.412435005267
fuzzy	-0.4	-0.7	0.408968143336
sum	-0.7	-None	0.404200413576
arcone	-0.1	-None	0.391267352115
fuzzy	-0.4	-0.1	0.389766152134
fuzzy	-0.4	-0.0	0.386977262832
cone	-0.1	-None	0.386480785306
mean	-0.4	-None	0.386355007119
fuzzy	-0.4	-1.0	0.385674375202
cone	--0.7	-None	0.385595889334
triang	-0.7	-None	0.368166901812
arcone	--1.0	-None	0.362102301867
cone	--1.0	-None	0.356134448632
fuzzy	-0.1	-0.0	0.351574030863
fuzzy	-0.1	-1.0	0.348659848225
sum	-1.0	-None	0.348470471057
mean	-0.1	-None	0.342885958606
fuzzy	-0.1	-0.1	0.34254590565
fuzzy	-0.1	-0.7	0.34161443944
arcone	-0.4	-None	0.340302399377
triang	-1.0	-None	0.339999081774
sum	--0.7	-None	0.339999081774
mean	--0.7	-None	0.339999081774
fuzzy	--0.7	-0.0	0.339999081774
fuzzy	--0.4	-0.7	0.339999081774
fuzzy	-0.0	-0.4	0.339999081774
fuzzy	-0.1	-0.4	0.339523890345
fuzzy	--0.4	-0.0	0.339356917847
fuzzy	-0.0	-0.7	0.339189870774
fuzzy	-0.0	-0.0	0.339189870774
cone	-0.7	-None	0.339189870774
fuzzy	--0.7	-0.7	0.338855552618
sum	-0.1	-None	0.338546131486
fuzzy	--1.0	-0.0	0.338546131486
mean	--1.0	-None	0.338379635181
fuzzy	--1.0	-0.1	0.338379635181
fuzzy	--0.7	-0.1	0.338379635181
arcone	-0.7	-None	0.338213063488
cone	-0.4	-None	0.338046416335
sum	--0.4	-None	0.337734316601
fuzzy	--0.7	-1.0	0.337734316601
fuzzy	--0.4	-0.4	0.337734316601
mean	--0.4	-None	0.337568372626
mean	-0.0	-None	0.337568372626
cone	-1.0	-None	0.337568372626
fuzzy	--0.4	-0.1	0.337402352515
fuzzy	--1.0	-1.0	0.337236256201
fuzzy	-0.0	-1.0	0.337236256201
fuzzy	--0.7	-0.4	0.336756080731
sum	-0.0	-None	0.336590613766
arcone	-1.0	-None	0.336590613766
fuzzy	--1.0	-0.7	0.33642506985
fuzzy	--1.0	-0.4	0.33642506985
fuzzy	--0.4	-1.0	0.335942757114
fuzzy	-0.0	-0.1	0.335942757114
sum	--1.0	-None	0.335612854907
triang	--1.0	-None	0.335430186669
fuzzy	-0.7	-1.0	0.335430186669
fuzzy	-0.7	-0.7	0.335264102243
triang	--0.7	-None	0.335097940338
fuzzy	-0.7	-0.4	0.335097940338
mean	-0.7	-None	0.334931700887
fuzzy	-0.7	-0.1	0.334598989082
fuzzy	-1.0	-1.0	0.334141085458
fuzzy	-1.0	-0.0	0.334124438055
triang	-0.4	-None	0.333976257803
triang	-0.0	-None	0.333958667531
fuzzy	-1.0	-0.4	0.333958667531
triang	--0.4	-None	0.33364636593
fuzzy	-1.0	-0.7	0.333481301586
fuzzy	-1.0	-0.1	0.333316158221
triang	-0.1	-None	0.332835965299
fuzzy	-0.7	-0.0	0.332671452054
mean	-1.0	-None	0.332506859044
