Method	\lambda	\alpha	F1-score
arcone	-0.4	None	0.5701457871387918
cone	-0.4	None	0.5687035723012821
arcone	-0.7	None	0.5302084757347916
cone	-0.7	None	0.5078220665351791
cone	0.0	None	0.4782059594621261
arcone	0.0	None	0.4776841612324828
arcone	-1.0	None	0.45455231263815754
triang	0.7	None	0.45291339923436424
fuzzy	0.4	0.0	0.4510380760484836
mean	0.4	None	0.45090892674583594
fuzzy	0.4	0.1	0.4504166278202498
fuzzy	0.4	1.0	0.4478028508436298
sum	0.7	None	0.43702433322411155
fuzzy	0.4	0.7	0.43216322291962556
sum	1.0	None	0.43142630310994307
cone	-1.0	None	0.42614998192055376
arcone	0.1	None	0.4253854964672841
fuzzy	0.4	0.4	0.42462454743613376
cone	0.1	None	0.4200328863567938
fuzzy	0.7	0.4	0.3773803555378331
fuzzy	0.7	0.7	0.3760939079332514
fuzzy	0.7	0.1	0.35905091896834684
fuzzy	0.7	1.0	0.3528869032831503
mean	0.7	None	0.3526897062808665
fuzzy	0.7	0.0	0.35139055081887566
cone	0.4	None	0.3508713232153535
sum	0.4	None	0.3478622850042859
arcone	0.4	None	0.34734267194234664
fuzzy	-1.0	0.0	0.3411079343116349
fuzzy	-0.7	0.1	0.3408072705436327
cone	0.7	None	0.3408072705436327
fuzzy	0.1	0.0	0.3406390534240636
fuzzy	0.1	0.1	0.33999908177378346
arcone	0.7	None	0.33999908177378346
fuzzy	-1.0	0.7	0.3393569178472208
triang	1.0	None	0.3391898707739942
sum	0.0	None	0.33902274905451396
fuzzy	-1.0	0.1	0.33902274905451396
sum	-0.7	None	0.3388555526177811
mean	-0.4	None	0.3387125524696682
fuzzy	-0.7	0.0	0.3385461314855774
fuzzy	0.0	0.1	0.3383796351813143
fuzzy	-1.0	1.0	0.3382130634876291
fuzzy	0.0	0.7	0.3382130634876291
fuzzy	-1.0	0.4	0.3380464163352444
fuzzy	-0.4	0.0	0.3380464163352444
fuzzy	0.0	1.0	0.3377343166005405
fuzzy	-0.7	0.7	0.3375683726259848
fuzzy	-0.4	1.0	0.3375683726259848
fuzzy	-0.4	0.4	0.3375683726259848
triang	0.4	None	0.3375152827753145
sum	0.1	None	0.3374023525154079
fuzzy	0.1	0.4	0.33708678406902265
sum	-1.0	None	0.33692147081036744
mean	-0.7	None	0.33692147081036744
mean	-1.0	None	0.3367560807314128
mean	0.1	None	0.3367560807314128
fuzzy	-0.7	1.0	0.3367560807314128
cone	1.0	None	0.3367560807314128
sum	-0.4	None	0.3365906137663921
fuzzy	-0.4	0.7	0.3365906137663921
fuzzy	-0.4	0.1	0.3364250698495013
arcone	1.0	None	0.3364250698495013
fuzzy	0.0	0.4	0.3362594489148988
triang	-0.7	None	0.33607144262166094
mean	0.0	None	0.3359427571141465
fuzzy	-0.7	0.4	0.33577784486228507
fuzzy	0.1	1.0	0.33577784486228507
fuzzy	0.0	0.0	0.33577784486228507
fuzzy	0.1	0.7	0.33561285490679954
fuzzy	1.0	0.1	0.3352641022434454
fuzzy	1.0	0.0	0.3352641022434454
triang	-0.4	None	0.3342901302320805
triang	0.1	None	0.3341244380545691
fuzzy	1.0	0.7	0.3341244380545691
fuzzy	1.0	1.0	0.3338113513145494
triang	0.0	None	0.33331615822071564
triang	-1.0	None	0.33283596529890463
mean	1.0	None	0.3326714520539899
fuzzy	1.0	0.4	0
