Method	\lambda	\alpha	F1-score
sum	0.4	None	0.4579839623893386
triang	0.7	None	0.4454407101060439
sum	0.7	None	0.441206243584752
fuzzy	0.4	0.7	0.4388480311855212
fuzzy	0.4	0.4	0.4364453713889075
fuzzy	0.4	1.0	0.4301924058295412
mean	0.4	None	0.4264090750897893
fuzzy	0.4	0.1	0.42557639119371615
fuzzy	0.4	0.0	0.42422903337277607
fuzzy	0.1	1.0	0.4105907758624304
mean	0.1	None	0.40240270542995066
arcone	-0.7	None	0.4001314967951165
fuzzy	0.1	0.0	0.39881901618519866
fuzzy	0.1	0.1	0.39652758846359254
fuzzy	0.1	0.7	0.39330896900464896
cone	-0.7	None	0.3911671392808944
fuzzy	0.1	0.4	0.39092973935525405
sum	1.0	None	0.386891604709648
cone	-0.4	None	0.38422008560852455
arcone	-1.0	None	0.3831302033393746
arcone	-0.4	None	0.37386530633477694
sum	0.1	None	0.3730911366856894
cone	-1.0	None	0.37206052352121366
fuzzy	0.0	1.0	0.3592991354843081
fuzzy	0.7	0.4	0.3482887984476729
triang	1.0	None	0.34820835964908053
fuzzy	0.7	0.7	0.34784182597341723
fuzzy	0.0	0.7	0.3475811345204316
fuzzy	0.0	0.0	0.3451746120845195
cone	0.0	None	0.34503497305805425
arcone	0.0	None	0.34503497305805425
fuzzy	0.0	0.1	0.34437041856290457
cone	0.1	None	0.3441007156249175
arcone	0.1	None	0.34351276470464537
fuzzy	0.7	0.1	0.34272812721634605
sum	0.0	None	0.34195174721232263
mean	0.0	None	0.34195174721232263
fuzzy	0.0	0.4	0.34195174721232263
fuzzy	0.7	0.0	0.3409520120091037
mean	0.7	None	0.3393620298292289
fuzzy	0.7	1.0	0.33805509777617665
arcone	0.4	None	0.3356154241280975
cone	0.4	None	0.3350337850091423
triang	0.4	None	0.3336573371876142
triang	-1.0	None	0
triang	-0.7	None	0
triang	-0.4	None	0
triang	0.1	None	0
triang	0.0	None	0
sum	-1.0	None	0
sum	-0.7	None	0
sum	-0.4	None	0
mean	1.0	None	0
mean	-1.0	None	0
mean	-0.7	None	0
mean	-0.4	None	0
fuzzy	1.0	1.0	0
fuzzy	-1.0	1.0	0
fuzzy	1.0	0.7	0
fuzzy	-1.0	0.7	0
fuzzy	1.0	0.4	0
fuzzy	-1.0	0.4	0
fuzzy	1.0	0.1	0
fuzzy	-1.0	0.1	0
fuzzy	1.0	0.0	0
fuzzy	-1.0	0.0	0
fuzzy	-0.7	1.0	0
fuzzy	-0.7	0.7	0
fuzzy	-0.7	0.4	0
fuzzy	-0.7	0.1	0
fuzzy	-0.7	0.0	0
fuzzy	-0.4	1.0	0
fuzzy	-0.4	0.7	0
fuzzy	-0.4	0.4	0
fuzzy	-0.4	0.1	0
fuzzy	-0.4	0.0	0
cone	1.0	None	0
cone	0.7	None	0
arcone	1.0	None	0
arcone	0.7	None	0
