Method	\lambda	\alpha	F1-score
arcone	--0.4	-None	0.622297925389921
cone	--0.4	-None	0.6156706163120624
arcone	--0.7	-None	0.560235046630671
cone	--0.7	-None	0.5332874947778861
cone	-0.0	-None	0.4894998663872741
arcone	-0.0	-None	0.4894998663872741
arcone	--1.0	-None	0.4770842247107019
sum	-0.4	-None	0.4579839623893386
cone	--1.0	-None	0.45186960580860236
triang	-0.7	-None	0.4454407101060439
sum	-0.7	-None	0.441206243584752
fuzzy	-0.4	-0.7	0.4388480311855212
arcone	-0.1	-None	0.437935579227749
fuzzy	-0.4	-0.4	0.4364453713889075
cone	-0.1	-None	0.43174029703592687
fuzzy	-0.4	-1.0	0.4301924058295412
mean	-0.4	-None	0.4264090750897893
fuzzy	-0.4	-0.1	0.42557639119371615
fuzzy	-0.4	-0.0	0.42422903337277607
fuzzy	-0.1	-1.0	0.4105907758624304
mean	-0.1	-None	0.40240270542995066
fuzzy	-0.1	-0.0	0.39881901618519866
fuzzy	-0.1	-0.1	0.39652758846359254
fuzzy	-0.1	-0.7	0.39330896900464896
fuzzy	-0.1	-0.4	0.39092973935525405
sum	-1.0	-None	0.386891604709648
sum	-0.1	-None	0.3730911366856894
fuzzy	-0.0	-1.0	0.3592991354843081
arcone	-0.4	-None	0.350169670719438
fuzzy	-0.7	-0.4	0.3482887984476729
triang	-1.0	-None	0.34820835964908053
fuzzy	-0.7	-0.7	0.34784182597341723
fuzzy	-0.0	-0.7	0.3475811345204316
cone	-0.4	-None	0.34574774620563736
fuzzy	-0.0	-0.0	0.3451746120845195
fuzzy	-0.0	-0.1	0.34437041856290457
fuzzy	-0.7	-0.1	0.34272812721634605
sum	-0.0	-None	0.34195174721232263
mean	-0.0	-None	0.34195174721232263
fuzzy	-0.0	-0.4	0.34195174721232263
fuzzy	-0.7	-0.0	0.3409520120091037
mean	-0.7	-None	0.3393620298292289
fuzzy	-0.7	-1.0	0.33805509777617665
triang	-0.4	-None	0.3336573371876142
triang	--1.0	-None	0
triang	--0.7	-None	0
triang	--0.4	-None	0
triang	-0.1	-None	0
triang	-0.0	-None	0
sum	--1.0	-None	0
sum	--0.7	-None	0
sum	--0.4	-None	0
mean	-1.0	-None	0
mean	--1.0	-None	0
mean	--0.7	-None	0
mean	--0.4	-None	0
fuzzy	-1.0	-1.0	0
fuzzy	--1.0	-1.0	0
fuzzy	-1.0	-0.7	0
fuzzy	--1.0	-0.7	0
fuzzy	-1.0	-0.4	0
fuzzy	--1.0	-0.4	0
fuzzy	-1.0	-0.1	0
fuzzy	--1.0	-0.1	0
fuzzy	-1.0	-0.0	0
fuzzy	--1.0	-0.0	0
fuzzy	--0.7	-1.0	0
fuzzy	--0.7	-0.7	0
fuzzy	--0.7	-0.4	0
fuzzy	--0.7	-0.1	0
fuzzy	--0.7	-0.0	0
fuzzy	--0.4	-1.0	0
fuzzy	--0.4	-0.7	0
fuzzy	--0.4	-0.4	0
fuzzy	--0.4	-0.1	0
fuzzy	--0.4	-0.0	0
cone	-1.0	-None	0
cone	-0.7	-None	0
arcone	-1.0	-None	0
arcone	-0.7	-None	0
