Method	\lambda	\alpha	F1-score
arcone	-0.0	-None	0.5103465108936374
cone	-0.0	-None	0.510063399957017
arcone	--0.4	-None	0.48571606393596023
fuzzy	-0.1	-0.0	0.46385691256272277
sum	-0.4	-None	0.4603296332228304
mean	-0.1	-None	0.45981694989152716
fuzzy	-0.1	-1.0	0.4579514060419496
cone	--0.4	-None	0.45714556317265054
fuzzy	-0.1	-0.1	0.45338296497291153
fuzzy	-0.1	-0.7	0.4507487950812206
fuzzy	-0.1	-0.4	0.44791887125220464
arcone	-0.1	-None	0.4257045847071754
sum	-0.1	-None	0.4154633846771644
cone	-0.1	-None	0.4141763172672465
arcone	--0.7	-None	0.39092357743720724
fuzzy	-0.4	-0.4	0.37980204596784906
fuzzy	-0.4	-0.7	0.3738625999248887
cone	--0.7	-None	0.3728260906778414
sum	-0.7	-None	0.3725435271991086
fuzzy	-0.0	-1.0	0.36715910053716977
fuzzy	-0.0	-0.0	0.36533046363554844
fuzzy	-0.4	-0.1	0.36288902218246166
fuzzy	-0.0	-0.7	0.3596298986641206
fuzzy	-0.0	-0.1	0.3596298986641206
arcone	--1.0	-None	0.3586539394603666
triang	-1.0	-None	0.35821633388218144
sum	-0.0	-None	0.3564560177812328
mean	-0.0	-None	0.35626824971645066
fuzzy	-0.4	-0.0	0.35587344883426253
fuzzy	-0.0	-0.4	0.3549437235907027
triang	-0.7	-None	0.3514922595881287
mean	-0.4	-None	0.3509557392041023
cone	--1.0	-None	0.3508349203195532
fuzzy	-0.4	-1.0	0.3502352084675048
arcone	-0.4	-None	0.3383796351813143
sum	-1.0	-None	0.3372120462661753
cone	-0.4	-None	0.3352926769532207
triang	--0.7	-None	0.3336573371876142
triang	-0.4	-None	0.3336573371876142
triang	-0.1	-None	0.3336573371876142
mean	-1.0	-None	0.3336573371876142
fuzzy	-1.0	-0.7	0.3336573371876142
fuzzy	-1.0	-0.4	0.3336573371876142
fuzzy	-1.0	-0.1	0.3336573371876142
fuzzy	-0.7	-1.0	0.3336573371876142
fuzzy	-0.7	-0.4	0.3336573371876142
triang	--1.0	-None	0
triang	--0.4	-None	0
triang	-0.0	-None	0
sum	--1.0	-None	0
sum	--0.7	-None	0
sum	--0.4	-None	0
mean	--1.0	-None	0
mean	-0.7	-None	0
mean	--0.7	-None	0
mean	--0.4	-None	0
fuzzy	-1.0	-1.0	0
fuzzy	--1.0	-1.0	0
fuzzy	--1.0	-0.7	0
fuzzy	--1.0	-0.4	0
fuzzy	--1.0	-0.1	0
fuzzy	-1.0	-0.0	0
fuzzy	--1.0	-0.0	0
fuzzy	--0.7	-1.0	0
fuzzy	-0.7	-0.7	0
fuzzy	--0.7	-0.7	0
fuzzy	--0.7	-0.4	0
fuzzy	-0.7	-0.1	0
fuzzy	--0.7	-0.1	0
fuzzy	-0.7	-0.0	0
fuzzy	--0.7	-0.0	0
fuzzy	--0.4	-1.0	0
fuzzy	--0.4	-0.7	0
fuzzy	--0.4	-0.4	0
fuzzy	--0.4	-0.1	0
fuzzy	--0.4	-0.0	0
cone	-1.0	-None	0
cone	-0.7	-None	0
arcone	-1.0	-None	0
arcone	-0.7	-None	0
