Method	\lambda	\alpha	F1-score
infocone	0.4	None	0.4819763359429857
infocone	0.1	None	0.47812953004442366
sum	0.4	None	0.4579839623893386
infocone	0.0	None	0.4469340038537791
triang	0.7	None	0.4454407101060439
sum	0.7	None	0.441206243584752
fuzzy	0.4	0.6	0.4408944868779424
fuzzy	0.4	0.7	0.4388480311855212
fuzzy	0.4	0.5	0.43828595129259795
fuzzy	0.4	0.4	0.4364453713889075
fuzzy	0.4	0.3	0.4354413950332859
fuzzy	0.4	0.2	0.4309226554989267
fuzzy	0.4	1.0	0.4301924058295412
mean	0.4	None	0.4264090750897893
fuzzy	0.4	0.1	0.42557639119371615
fuzzy	0.4	0.0	0.42422903337277607
fuzzy	0.1	1.0	0.4105907758624304
mean	0.1	None	0.40240270542995066
arcone	-0.7	None	0.4001314967951165
fuzzy	0.1	0.0	0.39881901618519866
fuzzy	0.1	0.1	0.39652758846359254
fuzzy	0.1	0.7	0.39330896900464896
fuzzy	0.1	0.2	0.3915972524626573
cone	-0.7	None	0.3911671392808944
fuzzy	0.1	0.4	0.39092973935525405
fuzzy	0.1	0.6	0.38931384327744994
fuzzy	0.1	0.3	0.3881034272408933
sum	1.0	None	0.386891604709648
fuzzy	0.1	0.5	0.38661869529152704
cone	-0.4	None	0.38422008560852455
arcone	-1.0	None	0.3831302033393746
arcone	-0.4	None	0.37386530633477694
infocone	-0.4	None	0.37322798699322435
sum	0.1	None	0.3730911366856894
cone	-1.0	None	0.37206052352121366
fuzzy	0.0	1.0	0.3592991354843081
fuzzy	0.7	0.6	0.3488702967801427
fuzzy	0.7	0.5	0.3486880107301592
fuzzy	0.7	0.4	0.3482887984476729
triang	1.0	None	0.34820835964908053
fuzzy	0.7	0.7	0.34784182597341723
fuzzy	0.0	0.7	0.3475811345204316
fuzzy	0.7	0.2	0.34600550027610033
fuzzy	0.0	0.6	0.3459777943684595
fuzzy	0.7	0.3	0.3459432577812001
fuzzy	0.0	0.0	0.3451746120845195
cone	0.0	None	0.34503497305805425
arcone	0.0	None	0.34503497305805425
fuzzy	0.0	0.1	0.34437041856290457
cone	0.1	None	0.3441007156249175
fuzzy	0.0	0.2	0.3435652114709982
arcone	0.1	None	0.34351276470464537
fuzzy	0.0	0.3	0.3427589884694842
fuzzy	0.7	0.1	0.34272812721634605
sum	0.0	None	0.34195174721232263
mean	0.0	None	0.34195174721232263
fuzzy	0.0	0.5	0.34195174721232263
fuzzy	0.0	0.4	0.34195174721232263
infocone	-0.7	None	0.34150068343006784
fuzzy	0.7	0.0	0.3409520120091037
mean	0.7	None	0.3393620298292289
infocone	0.7	None	0.3386147136176529
fuzzy	0.7	1.0	0.33805509777617665
arcone	0.4	None	0.3356154241280975
infocone	-1.0	None	0.3351283993838498
cone	0.4	None	0.3350337850091423
triang	0.4	None	0.3336573371876142
triang	-1.0	None	0
triang	-0.7	None	0
triang	-0.4	None	0
triang	0.1	None	0
triang	0.0	None	0
sum	-1.0	None	0
sum	-0.7	None	0
sum	-0.4	None	0
mean	1.0	None	0
mean	-1.0	None	0
mean	-0.7	None	0
mean	-0.4	None	0
infocone	1.0	None	0
fuzzy	1.0	1.0	0
fuzzy	-1.0	1.0	0
fuzzy	1.0	0.7	0
fuzzy	-1.0	0.7	0
fuzzy	1.0	0.6	0
fuzzy	-1.0	0.6	0
fuzzy	1.0	0.5	0
fuzzy	-1.0	0.5	0
fuzzy	1.0	0.4	0
fuzzy	-1.0	0.4	0
fuzzy	1.0	0.3	0
fuzzy	-1.0	0.3	0
fuzzy	1.0	0.2	0
fuzzy	-1.0	0.2	0
fuzzy	1.0	0.1	0
fuzzy	-1.0	0.1	0
fuzzy	1.0	0.0	0
fuzzy	-1.0	0.0	0
fuzzy	-0.7	1.0	0
fuzzy	-0.7	0.7	0
fuzzy	-0.7	0.6	0
fuzzy	-0.7	0.5	0
fuzzy	-0.7	0.4	0
fuzzy	-0.7	0.3	0
fuzzy	-0.7	0.2	0
fuzzy	-0.7	0.1	0
fuzzy	-0.7	0.0	0
fuzzy	-0.4	1.0	0
fuzzy	-0.4	0.7	0
fuzzy	-0.4	0.6	0
fuzzy	-0.4	0.5	0
fuzzy	-0.4	0.4	0
fuzzy	-0.4	0.3	0
fuzzy	-0.4	0.2	0
fuzzy	-0.4	0.1	0
fuzzy	-0.4	0.0	0
cone	1.0	None	0
cone	0.7	None	0
arcone	1.0	None	0
arcone	0.7	None	0
