Method	\lambda	\alpha	F1-score
arcone	--0.7	-None	0.541934122609
cone	--0.7	-None	0.536730806895
cone	--0.4	-None	0.530319583928
arcone	--0.4	-None	0.523304775799
triang	-0.7	-None	0.517105581761
arcone	--1.0	-None	0.513183374562
sum	-0.7	-None	0.49896726524
cone	--1.0	-None	0.493142031684
fuzzy	-0.4	-0.4	0.485712850353
fuzzy	-0.4	-0.7	0.484452988644
fuzzy	-0.4	-0.0	0.481517965827
fuzzy	-0.4	-0.1	0.480874307825
fuzzy	-0.4	-1.0	0.478474690204
mean	-0.4	-None	0.475535277351
sum	-1.0	-None	0.426012289931
arcone	-0.0	-None	0.417666340918
cone	-0.0	-None	0.417484976839
arcone	-0.1	-None	0.376546461924
cone	-0.1	-None	0.375026648565
sum	-0.4	-None	0.370511023492
fuzzy	-0.7	-0.4	0.365691079341
fuzzy	-0.7	-0.7	0.365123902037
fuzzy	-0.7	-0.1	0.355863106854
mean	-0.7	-None	0.351548399438
fuzzy	-0.7	-0.0	0.351370124083
fuzzy	-0.7	-1.0	0.349804378096
arcone	-0.4	-None	0.346222434773
cone	-0.4	-None	0.344120190746
arcone	-0.7	-None	0.343463579354
triang	--1.0	-None	0.342322780775
fuzzy	-1.0	-0.1	0.342261684417
triang	-0.0	-None	0.342151684273
fuzzy	-1.0	-0.0	0.342089702683
sum	-0.0	-None	0.341694524134
fuzzy	--0.7	-0.4	0.341694524134
fuzzy	-0.1	-0.4	0.341573340422
sum	--1.0	-None	0.341403674366
mean	--0.7	-None	0.341403674366
fuzzy	-0.0	-1.0	0.341064125652
fuzzy	--1.0	-0.1	0.340894242839
triang	--0.7	-None	0.340384159642
fuzzy	--1.0	-1.0	0.340302399377
fuzzy	--0.7	-0.7	0.340262304772
cone	-1.0	-None	0.340262304772
cone	-0.7	-None	0.339923542166
fuzzy	-1.0	-1.0	0.339873422673
mean	-0.0	-None	0.339628209965
fuzzy	-0.0	-0.0	0.339628209965
fuzzy	--1.0	-0.0	0.339459478571
mean	-0.1	-None	0.33929067341
fuzzy	-0.1	-0.0	0.33929067341
mean	--0.4	-None	0.339159990289
fuzzy	--0.7	-0.1	0.339159990289
fuzzy	-1.0	-0.7	0.339121794409
fuzzy	-1.0	-0.4	0.33907535334
mean	--1.0	-None	0.338991949472
fuzzy	--1.0	-0.7	0.338991949472
fuzzy	--1.0	-0.4	0.338952841493
sum	--0.4	-None	0.338823834313
arcone	-1.0	-None	0.338823834313
fuzzy	--0.7	-1.0	0.338688281393
fuzzy	-0.0	-0.4	0.338655644737
fuzzy	--0.7	-0.0	0.338487380673
fuzzy	--0.4	-0.7	0.338319042047
fuzzy	--0.4	-1.0	0.338186018278
triang	-1.0	-None	0.338150628787
sum	--0.7	-None	0.338150628787
triang	-0.4	-None	0.338106965579
sum	-0.1	-None	0.338018447189
fuzzy	-0.1	-0.1	0.337813578072
mean	-1.0	-None	0.33764494047
fuzzy	-0.1	-0.7	0.337546021433
fuzzy	--0.4	-0.1	0.337515282775
fuzzy	--0.4	-0.0	0.337212046266
fuzzy	-0.0	-0.1	0.3368777676
triang	--0.4	-None	0.336375779322
fuzzy	-0.1	-1.0	0.336375779322
fuzzy	--0.4	-0.4	0.336238074255
triang	-0.1	-None	0.33587310504
fuzzy	-0.0	-0.7	0.335117418177
