Method	\lambda	\alpha	F1-score
cone	0.0	None	0.4371347878739451
arcone	0.0	None	0.4371347878739451
cone	0.1	None	0.43489744171861366
arcone	0.1	None	0.43383510471290343
fuzzy	0.7	0.4	0.432234755406842
fuzzy	0.7	0.7	0.4313817391244152
fuzzy	0.7	1.0	0.42909259133119904
triang	0.7	None	0.42475105666595026
fuzzy	0.7	0.1	0.4236196973846217
mean	0.7	None	0.41930921216053113
fuzzy	0.7	0.0	0.4141110568920915
sum	1.0	None	0.41342741631619817
fuzzy	0.4	0.0	0.39474945523003874
fuzzy	0.4	0.1	0.3870300086028035
arcone	-0.4	None	0.37870092604669364
mean	0.4	None	0.37766735763931225
arcone	0.4	None	0.37618878962970054
cone	-0.4	None	0.3758704020150652
cone	0.4	None	0.37382102599493905
sum	0.7	None	0.3712932876288065
fuzzy	0.4	0.4	0.3705539155915137
fuzzy	0.4	1.0	0.3701528390361819
fuzzy	0.4	0.7	0.36628774551229987
arcone	-0.7	None	0.3625695495739434
cone	-0.7	None	0.35749608651156534
sum	0.4	None	0.34879111006952584
arcone	-1.0	None	0.34552684364312164
fuzzy	0.1	1.0	0.3431771988603143
cone	-1.0	None	0.3426791163028247
triang	0.4	None	0.3408076834682565
mean	0.1	None	0.33983141158070695
fuzzy	0.1	0.7	0.33983141158070695
fuzzy	0.1	0.4	0.3391898707739942
fuzzy	0.1	0.1	0.3391898707739942
fuzzy	0.1	0.0	0.3383796351813143
sum	0.1	None	0.3362723487631643
arcone	0.7	None	0.3346975200222817
triang	1.0	None	0.33464036393669117
fuzzy	0.0	1.0	0.33464036393669117
fuzzy	0.0	0.4	0.33464036393669117
fuzzy	0.0	0.1	0.33464036393669117
fuzzy	0.0	0.0	0.33464036393669117
cone	0.7	None	0.33346088523398754
triang	-1.0	None	0
triang	-0.7	None	0
triang	-0.4	None	0
triang	0.1	None	0
triang	0.0	None	0
sum	-1.0	None	0
sum	-0.7	None	0
sum	-0.4	None	0
sum	0.0	None	0
mean	1.0	None	0
mean	-1.0	None	0
mean	-0.7	None	0
mean	-0.4	None	0
mean	0.0	None	0
fuzzy	1.0	1.0	0
fuzzy	-1.0	1.0	0
fuzzy	1.0	0.7	0
fuzzy	-1.0	0.7	0
fuzzy	1.0	0.4	0
fuzzy	-1.0	0.4	0
fuzzy	1.0	0.1	0
fuzzy	-1.0	0.1	0
fuzzy	1.0	0.0	0
fuzzy	-1.0	0.0	0
fuzzy	-0.7	1.0	0
fuzzy	-0.7	0.7	0
fuzzy	-0.7	0.4	0
fuzzy	-0.7	0.1	0
fuzzy	-0.7	0.0	0
fuzzy	-0.4	1.0	0
fuzzy	-0.4	0.7	0
fuzzy	-0.4	0.4	0
fuzzy	-0.4	0.1	0
fuzzy	-0.4	0.0	0
fuzzy	0.0	0.7	0
cone	1.0	None	0
arcone	1.0	None	0
