Method	\lambda	\alpha	F1-score
cone	-0.0	-None	0.5601885006178884
arcone	-0.0	-None	0.5561197569005236
arcone	-0.1	-None	0.5482836914423592
cone	-0.1	-None	0.5425225648196346
arcone	--0.4	-None	0.47278713926012
triang	-0.7	-None	0.46357807786551275
cone	--0.4	-None	0.46063329148403387
fuzzy	-0.7	-0.7	0.44014164012347745
fuzzy	-0.7	-0.4	0.43811887767422736
sum	-1.0	-None	0.43577156015458085
fuzzy	-0.7	-0.1	0.43049846400635894
arcone	-0.4	-None	0.4288622439675935
fuzzy	-0.4	-1.0	0.4251767434518975
cone	-0.4	-None	0.4146203355797693
fuzzy	-0.7	-0.0	0.4052921356649527
mean	-0.4	-None	0.40468044357579364
arcone	--0.7	-None	0.40445827173174
mean	-0.7	-None	0.4022777016311329
fuzzy	-0.7	-1.0	0.3998912923921535
fuzzy	-0.4	-0.0	0.39390882947341377
fuzzy	-0.4	-0.1	0.39328680908686076
cone	--0.7	-None	0.38881012164664996
fuzzy	-0.4	-0.7	0.3801910757190142
sum	-0.7	-None	0.3793444510072834
triang	-0.1	-None	0.37839411090414093
arcone	--1.0	-None	0.3770873013266781
fuzzy	-1.0	-0.0	0.37695107977565667
fuzzy	-1.0	-1.0	0.37632205147167547
mean	-1.0	-None	0.3744477375767744
triang	--0.7	-None	0.37354944047875366
triang	--1.0	-None	0.37315917027782664
triang	-0.4	-None	0.3727687182426401
fuzzy	-1.0	-0.4	0.372447723967061
fuzzy	-0.4	-0.4	0.37186325314307384
cone	--1.0	-None	0.37066113516295285
triang	-0.0	-None	0.3681067988897869
fuzzy	-1.0	-0.1	0.3681067988897869
triang	--0.4	-None	0.367185667522558
fuzzy	-1.0	-0.7	0.36358422086855696
fuzzy	-0.0	-0.1	0.3545714222509803
fuzzy	-0.0	-1.0	0.35437326869806096
fuzzy	--1.0	-0.4	0.3538261095193141
fuzzy	--0.4	-0.4	0.3538261095193141
arcone	-0.7	-None	0.3532588537979383
sum	--1.0	-None	0.35262222885668737
mean	--1.0	-None	0.3525042949649795
triang	-1.0	-None	0.35232852543808185
cone	-1.0	-None	0.35115457300154657
fuzzy	--0.4	-0.1	0.35099251183377167
fuzzy	-0.1	-0.1	0.3500512391895857
mean	--0.7	-None	0.350027482791198
fuzzy	--0.7	-0.4	0.34988445268198937
sum	--0.4	-None	0.34978077558173504
mean	-0.1	-None	0.3494771616779628
fuzzy	-0.1	-0.0	0.34923467827576044
fuzzy	-0.0	-0.4	0.3491300783384952
arcone	-1.0	-None	0.3485350576398425
mean	-0.0	-None	0.34819087210233135
fuzzy	--1.0	-1.0	0.34792526092641285
fuzzy	--0.4	-1.0	0.3478227894357628
fuzzy	-0.1	-1.0	0.34780207488484144
fuzzy	-0.1	-0.7	0.3475929536017222
fuzzy	-0.1	-0.4	0.3474102196326379
fuzzy	-0.0	-0.0	0.3473794723353737
sum	-0.1	-None	0.34727018610070925
sum	-0.4	-None	0.3463970387914978
sum	-0.0	-None	0.3463970387914978
fuzzy	--1.0	-0.0	0.3463970387914978
mean	--0.4	-None	0.34576270310363805
fuzzy	--0.4	-0.7	0.34576270310363805
fuzzy	--0.7	-0.7	0.3449480609418282
sum	--0.7	-None	0.34418647590354656
cone	-0.7	-None	0.3440402988207309
fuzzy	--1.0	-0.7	0.34396493611616474
fuzzy	--0.7	-1.0	0.34346233068028387
fuzzy	--0.4	-0.0	0.3432000816577637
fuzzy	--0.7	-0.0	0.34306301939058176
fuzzy	--1.0	-0.1	0.34284049284049284
fuzzy	-0.0	-0.7	0.34220356684852876
fuzzy	--0.7	-0.1	0.34113109134776803
