Method	\lambda	\alpha	F1-score
arcone	-0.0	-None	0.5198114328938837
cone	--1.0	-None	0.5164941128704832
cone	-0.0	-None	0.5155921809826107
arcone	-0.1	-None	0.5112162266576977
fuzzy	-1.0	-0.0	0.5100337514892543
sum	-1.0	-None	0.5075138356747552
fuzzy	-0.7	-0.7	0.5042145982767176
arcone	--1.0	-None	0.5034291960168574
triang	--1.0	-None	0.5011447196282762
fuzzy	-0.7	-1.0	0.500978035821508
fuzzy	-1.0	-0.1	0.4994795699577751
fuzzy	-0.4	-0.1	0.4994302721413735
triang	-0.0	-None	0.4970310975615754
cone	-0.1	-None	0.4969356608003052
triang	--0.4	-None	0.4955142929741373
cone	--0.4	-None	0.49542193979574034
mean	-0.4	-None	0.49538073217836953
fuzzy	-0.7	-0.1	0.49407687400193023
fuzzy	-0.7	-0.0	0.49375361594883904
mean	-1.0	-None	0.4937030755314337
triang	--0.7	-None	0.49254144721589666
arcone	--0.7	-None	0.49225194388839244
cone	--0.7	-None	0.4917737338228798
sum	-0.7	-None	0.4913613458831114
triang	-0.1	-None	0.48994870868886053
triang	-0.7	-None	0.4889703490191284
fuzzy	-1.0	-0.7	0.48807407663455277
mean	-0.7	-None	0.4869049303333931
fuzzy	-0.7	-0.4	0.48670187370796214
arcone	--0.4	-None	0.48617740691396116
fuzzy	-0.4	-0.0	0.4859299814386376
fuzzy	-0.4	-0.7	0.4854222783472803
fuzzy	-0.4	-1.0	0.4840636951820701
fuzzy	-0.4	-0.4	0.4823081910525178
fuzzy	-1.0	-0.4	0.4813270242179931
fuzzy	-1.0	-1.0	0.4796555690891866
triang	-0.4	-None	0.4789943852515877
fuzzy	--1.0	-0.0	0.47861368523585707
fuzzy	-0.0	-0.0	0.4739828231844584
cone	-0.4	-None	0.4738481132500789
fuzzy	--1.0	-0.7	0.47224968121653055
fuzzy	--0.7	-0.0	0.4719808724680832
fuzzy	--0.4	-1.0	0.47173313174594567
sum	--1.0	-None	0.4711116067204628
sum	-0.0	-None	0.4702777588184095
cone	-1.0	-None	0.4694262895264957
fuzzy	-0.0	-0.7	0.46766985316125054
fuzzy	--0.7	-0.1	0.46755090579824454
triang	-1.0	-None	0.4670571248792107
sum	--0.4	-None	0.4666085848333108
arcone	-0.4	-None	0.4660100421608403
sum	-0.4	-None	0.46587431047032724
fuzzy	--0.4	-0.4	0.4657139652500204
fuzzy	-0.1	-0.0	0.46495683785740993
mean	--1.0	-None	0.4644755882590036
fuzzy	--0.7	-0.4	0.4642886833715922
arcone	-1.0	-None	0.4638694862655048
sum	--0.7	-None	0.4622084168025359
sum	-0.1	-None	0.4618588242110522
fuzzy	-0.0	-0.4	0.46173681546166234
fuzzy	-0.1	-1.0	0.46144620270856196
fuzzy	--1.0	-0.4	0.4609678680551789
fuzzy	--1.0	-0.1	0.4604971444912891
fuzzy	--0.7	-1.0	0.4604401825337443
fuzzy	--1.0	-1.0	0.460136396734865
mean	--0.4	-None	0.458806733116306
mean	--0.7	-None	0.458337772651657
fuzzy	-0.1	-0.7	0.45820793786972946
mean	-0.0	-None	0.4577706849814414
fuzzy	--0.4	-0.7	0.4559884480509964
fuzzy	-0.1	-0.4	0.4559384501785514
fuzzy	-0.1	-0.1	0.4542889915323592
fuzzy	--0.4	-0.0	0.45398175859594003
mean	-0.1	-None	0.4539278124441022
fuzzy	-0.0	-0.1	0.4539278124441022
fuzzy	--0.4	-0.1	0.45280511464106404
cone	-0.7	-None	0.4524890224910197
arcone	-0.7	-None	0.45159858178587303
fuzzy	-0.0	-1.0	0.449889950137902
fuzzy	--0.7	-0.7	0.44680810111906666
