Method	\lambda	\alpha	F1-score
cone	-0.1	-None	0.519152155159334
cone	-0.0	-None	0.5164537108046395
arcone	-0.1	-None	0.5164537108046395
arcone	-0.0	-None	0.5127971702995091
triang	-0.7	-None	0.48997398814843035
arcone	--0.4	-None	0.48112726524273297
sum	-1.0	-None	0.47629656535749576
fuzzy	-0.4	-1.0	0.47592760954975455
fuzzy	-0.4	-0.7	0.4703973431357499
cone	--0.4	-None	0.4701699681511409
fuzzy	-0.4	-0.0	0.4677216308882244
mean	-0.4	-None	0.4637943697120653
arcone	-0.4	-None	0.46328657189224737
cone	-0.4	-None	0.4607633027883423
sum	-0.7	-None	0.4607264164633538
fuzzy	-0.4	-0.1	0.45756765883982703
fuzzy	-0.4	-0.4	0.4506003053576386
fuzzy	-0.7	-0.4	0.44526829522484834
cone	--0.7	-None	0.4451819313130342
arcone	--0.7	-None	0.44147166878353017
fuzzy	--0.4	-0.7	0.43837888773095257
mean	--0.4	-None	0.43836965065505556
cone	-1.0	-None	0.4382075288384168
triang	-0.0	-None	0.4366097919405987
fuzzy	--0.7	-0.1	0.4352455401585762
mean	-0.7	-None	0.43375152019458496
fuzzy	-0.7	-1.0	0.43174222535882606
fuzzy	--1.0	-0.0	0.43140712806861875
fuzzy	--0.7	-0.7	0.4307754815920958
fuzzy	--0.4	-1.0	0.43051900538675886
sum	-0.0	-None	0.43027705931518706
fuzzy	-0.0	-0.7	0.4301804777384738
arcone	-0.7	-None	0.43012799135940116
fuzzy	-0.7	-0.0	0.43002780983745903
fuzzy	-0.0	-0.1	0.430027809837459
fuzzy	-0.0	-0.0	0.42939267695528943
triang	-1.0	-None	0.4293363006684568
fuzzy	-0.7	-0.7	0.4289111126652213
mean	--1.0	-None	0.4288709027079879
sum	-0.1	-None	0.428437514264869
fuzzy	--1.0	-0.1	0.42809273565921346
mean	-0.0	-None	0.42783478287522575
sum	--0.4	-None	0.42749834745508086
arcone	-1.0	-None	0.42724983622761314
fuzzy	-0.1	-0.4	0.42646306696408437
fuzzy	--0.7	-1.0	0.4263518939646306
fuzzy	--0.7	-0.4	0.42627864057206605
fuzzy	-1.0	-0.1	0.426278640572066
triang	-0.4	-None	0.4254009705991164
fuzzy	--0.4	-0.0	0.4253438630477876
fuzzy	-1.0	-0.4	0.42512492164757365
cone	--1.0	-None	0.42504445557880677
fuzzy	--0.7	-0.0	0.42444668388410944
fuzzy	-1.0	-0.0	0.4234501217106402
arcone	--1.0	-None	0.4232876802567819
mean	-0.1	-None	0.4232698055643774
sum	--0.7	-None	0.4231080754756177
mean	-1.0	-None	0.4225828841083201
fuzzy	--1.0	-0.4	0.4223362744993173
fuzzy	-0.1	-0.0	0.42229344883595016
fuzzy	-1.0	-1.0	0.4211027816577016
triang	-0.1	-None	0.4208135900294656
fuzzy	-1.0	-0.7	0.420718394241963
fuzzy	--0.4	-0.1	0.4205864551706427
triang	--1.0	-None	0.4205419428514685
fuzzy	-0.1	-0.7	0.4196637413432107
sum	--1.0	-None	0.4193746095074369
triang	--0.4	-None	0.4191200625149319
fuzzy	-0.0	-1.0	0.419015290943575
fuzzy	-0.0	-0.4	0.418960591662206
fuzzy	--1.0	-0.7	0.41888978300423174
fuzzy	-0.1	-0.1	0.4187804569037709
mean	--0.7	-None	0.41874270759128007
triang	--0.7	-None	0.41813925081433223
cone	-0.7	-None	0.4169385401219311
fuzzy	--0.4	-0.4	0.4163446049092066
fuzzy	-0.7	-0.1	0.41570300244929415
sum	-0.4	-None	0.4144867667170088
fuzzy	--1.0	-1.0	0.4134088745428758
fuzzy	-0.1	-1.0	0.40267111605762235
