Method	\lambda	\alpha	F1-score
arcone	--0.4	-None	0.584086156291
cone	--0.4	-None	0.577374238359
arcone	--0.7	-None	0.557757797568
cone	--0.7	-None	0.513155802862
arcone	--1.0	-None	0.474958907806
arcone	-0.0	-None	0.459713151492
cone	-0.0	-None	0.458964889333
fuzzy	-0.1	-1.0	0.44887743438
mean	-0.1	-None	0.444488383988
fuzzy	-0.1	-0.1	0.440962670485
fuzzy	-0.1	-0.0	0.440820460976
sum	-0.4	-None	0.439494817764
fuzzy	-0.1	-0.7	0.439153805759
cone	--1.0	-None	0.438504334458
fuzzy	-0.1	-0.4	0.435094778602
fuzzy	-0.4	-0.7	0.426829055343
fuzzy	-0.4	-0.4	0.424068668113
sum	-0.1	-None	0.42349424291
sum	-0.7	-None	0.422854221056
fuzzy	-0.4	-0.1	0.413185432369
arcone	-0.1	-None	0.408764566028
fuzzy	-0.4	-0.0	0.407835465037
mean	-0.4	-None	0.406720368742
fuzzy	-0.4	-1.0	0.405238327936
cone	-0.1	-None	0.398389970162
triang	-0.7	-None	0.390370255718
fuzzy	-0.0	-1.0	0.388909535587
fuzzy	-0.0	-0.7	0.384335011088
mean	-0.0	-None	0.379307158888
sum	-1.0	-None	0.378335331497
fuzzy	-0.0	-0.0	0.376798178783
fuzzy	-0.0	-0.4	0.37666519329
sum	-0.0	-None	0.374966951537
fuzzy	-0.0	-0.1	0.372881673978
triang	-1.0	-None	0.363668866887
fuzzy	-0.7	-0.4	0.348411012979
fuzzy	-0.7	-0.7	0.345606256595
arcone	-0.4	-None	0.344433352501
cone	-0.4	-None	0.343347870161
fuzzy	--0.4	-0.1	0.34016667806
fuzzy	-0.7	-1.0	0.33929067341
cone	-0.7	-None	0.339189870774
fuzzy	--1.0	-0.4	0.339022749055
fuzzy	--1.0	-0.0	0.339022749055
fuzzy	-0.7	-0.0	0.338952841493
fuzzy	--1.0	-0.1	0.338855552618
fuzzy	--0.4	-0.0	0.33871255247
sum	--0.7	-None	0.338546131486
fuzzy	--1.0	-1.0	0.338546131486
sum	--0.4	-None	0.338379635181
fuzzy	--0.4	-0.7	0.338379635181
sum	--1.0	-None	0.338213063488
mean	--1.0	-None	0.338213063488
mean	--0.7	-None	0.338213063488
fuzzy	--1.0	-0.7	0.338213063488
arcone	-0.7	-None	0.338213063488
mean	-0.7	-None	0.337850800956
fuzzy	-0.7	-0.1	0.337813578072
mean	--0.4	-None	0.337734316601
fuzzy	--0.7	-0.7	0.337568372626
fuzzy	--0.7	-0.4	0.337402352515
fuzzy	--0.7	-0.0	0.337402352515
cone	-1.0	-None	0.337402352515
fuzzy	--0.4	-0.4	0.337236256201
fuzzy	--0.4	-1.0	0.336756080731
fuzzy	--0.7	-1.0	0.336590613766
fuzzy	--0.7	-0.1	0.335942757114
arcone	-1.0	-None	0.335777844862
fuzzy	-1.0	-0.7	0.335404147959
fuzzy	-1.0	-0.1	0.335264102243
triang	-0.0	-None	0.335097940338
triang	--0.7	-None	0.334290130232
triang	-0.4	-None	0.334124438055
fuzzy	-1.0	-0.4	0.333811351315
triang	--1.0	-None	0.33364636593
triang	--0.4	-None	0.333316158221
fuzzy	-1.0	-0.0	0.333150935771
fuzzy	-1.0	-1.0	0.33300039884
triang	-0.1	-None	0
mean	-1.0	-None	0
