Method	\lambda	\alpha	F1-score
fuzzy	-1.0	-1.0	0.5304760624470579
fuzzy	-0.1	-0.7	0.5205699373821995
cone	--1.0	-None	0.5201992554105823
mean	-0.4	-None	0.517634027476073
mean	--0.4	-None	0.5167672684322231
arcone	-1.0	-None	0.5161613850822655
cone	--0.4	-None	0.5157383850513149
mean	--1.0	-None	0.5154292424022593
fuzzy	-0.7	-0.7	0.5135611704999459
sum	--0.7	-None	0.5128066410204495
mean	-0.1	-None	0.5127990125781816
fuzzy	--0.4	-0.7	0.5120283375450874
fuzzy	-0.4	-0.7	0.5110180740656761
triang	-1.0	-None	0.5110159621756888
fuzzy	--0.4	-0.4	0.5105944832233318
fuzzy	--0.7	-0.7	0.5099181187669282
arcone	-0.4	-None	0.509912562570993
fuzzy	-1.0	-0.4	0.5095464383956008
sum	-1.0	-None	0.5091629594437006
sum	--0.4	-None	0.5086307588967762
fuzzy	-0.7	-0.4	0.5077053477191684
fuzzy	-0.0	-1.0	0.507344280482398
arcone	-0.0	-None	0.5064656426457138
fuzzy	--1.0	-0.7	0.5058667600651361
fuzzy	--0.7	-0.4	0.5058363463617369
fuzzy	--0.4	-1.0	0.5044052456157754
fuzzy	-0.4	-1.0	0.5043934729093128
triang	--1.0	-None	0.504008746355685
arcone	-0.7	-None	0.503972592754574
fuzzy	-0.4	-0.1	0.5038737460144646
cone	-0.7	-None	0.5031991105452123
sum	-0.1	-None	0.5025544511371802
triang	-0.1	-None	0.5018358088815251
triang	-0.4	-None	0.5017763658039325
fuzzy	-0.1	-0.4	0.5010415226856492
fuzzy	--1.0	-0.4	0.500734147403086
sum	-0.7	-None	0.5007266002920978
fuzzy	-0.1	-0.1	0.5007233657461114
cone	--0.7	-None	0.499999932517087
cone	-1.0	-None	0.49990759883179003
fuzzy	-1.0	-0.0	0.4996228982041101
fuzzy	--0.7	-0.0	0.4996056086179781
mean	-0.0	-None	0.49924571416231217
fuzzy	-0.1	-1.0	0.49889354075057835
sum	-0.0	-None	0.49888461305898923
fuzzy	-0.0	-0.1	0.49816284443292735
fuzzy	--0.4	-0.0	0.49779024815489603
fuzzy	--1.0	-0.0	0.49729700832200674
fuzzy	--1.0	-1.0	0.4970413666091015
arcone	-0.1	-None	0.49632561890333393
mean	--0.7	-None	0.4963109350323705
fuzzy	--0.7	-0.1	0.49629625030520963
cone	-0.0	-None	0.4962005066531127
sum	-0.4	-None	0.49594143793220924
fuzzy	-0.0	-0.0	0.4958499849615616
fuzzy	-1.0	-0.7	0.4952216473250726
triang	--0.7	-None	0.4952172870858653
fuzzy	-0.0	-0.7	0.49445004446119345
arcone	--0.4	-None	0.49441947231873606
triang	--0.4	-None	0.49411043019307976
cone	-0.4	-None	0.49411043019307976
fuzzy	-1.0	-0.1	0.49409732021779684
fuzzy	-0.7	-0.0	0.49409732021779684
fuzzy	-0.1	-0.0	0.49409732021779684
fuzzy	-0.7	-1.0	0.49375431890818
triang	-0.7	-None	0.4937083997425697
mean	-0.7	-None	0.4932935920566044
fuzzy	-0.4	-0.0	0.49191599321875507
triang	-0.0	-None	0.49166241648339226
fuzzy	-0.4	-0.4	0.49154923266373957
fuzzy	-0.7	-0.1	0.48971282615370604
fuzzy	--0.4	-0.1	0.488588951755712
mean	-1.0	-None	0.48821900295090126
arcone	--0.7	-None	0.48710193464231555
arcone	--1.0	-None	0.48687559415780834
fuzzy	-0.0	-0.4	0.48632691011818374
fuzzy	--0.7	-1.0	0.48567202211280985
fuzzy	--1.0	-0.1	0.4849097380928086
cone	-0.1	-None	0.47973921846527634
sum	--1.0	-None	0.47814868099299235
