Method	\lambda	\alpha	F1-score
arcone	--0.4	-None	0.5708831035910561
cone	--0.4	-None	0.570135575595637
arcone	--0.7	-None	0.533789088305963
cone	--0.7	-None	0.5058958837842051
arcone	--1.0	-None	0.4682047833672579
sum	-0.4	-None	0.4628150560796578
cone	-0.0	-None	0.45610309378635405
arcone	-0.0	-None	0.45336598736989653
fuzzy	-0.1	-0.0	0.45138143420245164
mean	-0.1	-None	0.4458613687732613
fuzzy	-0.1	-0.1	0.4434734612409579
cone	--1.0	-None	0.44322621823147396
fuzzy	-0.1	-0.4	0.4324786648786706
fuzzy	-0.1	-1.0	0.4272365053973885
fuzzy	-0.1	-0.7	0.4226742486869244
fuzzy	-0.4	-0.4	0.41353571523201366
arcone	-0.1	-None	0.40854659584741676
cone	-0.1	-None	0.4059778897207613
fuzzy	-0.4	-0.7	0.4056443001709037
sum	-0.7	-None	0.40498918198882783
fuzzy	-0.4	-0.1	0.39956466176142486
sum	-0.1	-None	0.3987734901607151
mean	-0.4	-None	0.39163274311453916
fuzzy	-0.4	-0.0	0.39027556656012674
fuzzy	-0.4	-1.0	0.38989196533559467
triang	-0.7	-None	0.3814638857889424
fuzzy	-0.0	-0.0	0.37671423667105747
fuzzy	-0.0	-0.1	0.37012176353778453
sum	-1.0	-None	0.36531408333756965
fuzzy	-0.0	-0.4	0.35981059299444945
fuzzy	-0.0	-1.0	0.3576370771828837
sum	-0.0	-None	0.35745398167170467
fuzzy	-0.0	-0.7	0.35727082847247477
fuzzy	--0.4	-0.7	0.35514826986083503
triang	-1.0	-None	0.353044864290315
mean	-0.0	-None	0.3526314975943163
fuzzy	--1.0	-1.0	0.35218533688295484
mean	--0.4	-None	0.351653368744125
fuzzy	--1.0	-0.0	0.3512206091642399
arcone	-0.4	-None	0.3506900007927789
arcone	-0.7	-None	0.350255881445525
sum	--1.0	-None	0.34929115372681013
fuzzy	-0.7	-0.4	0.34904678549587914
cone	-0.4	-None	0.34902006499929344
fuzzy	--1.0	-0.1	0.3488523635950638
fuzzy	--0.4	-0.4	0.3488523635950638
fuzzy	-0.7	-1.0	0.3487395113325407
sum	--0.4	-None	0.34858717159984365
fuzzy	--0.4	-0.0	0.34850180413248455
fuzzy	--1.0	-0.7	0.34815098216341644
fuzzy	--0.4	-1.0	0.34815098216341644
fuzzy	--0.7	-0.4	0.3477114785526001
fuzzy	--1.0	-0.4	0.3476242553716098
mean	--1.0	-None	0.34736169828938035
fuzzy	--0.4	-0.1	0.34736169828938035
sum	--0.7	-None	0.3472686424637212
mean	--0.7	-None	0.3470944420623909
fuzzy	--0.7	-0.1	0.3469959281300721
fuzzy	-0.7	-0.7	0.34695954039240073
arcone	-1.0	-None	0.34647530797171305
fuzzy	-0.7	-0.0	0.34639290852162136
fuzzy	--0.7	-0.0	0.3463016330451489
fuzzy	--0.7	-1.0	0.34595408034697056
fuzzy	-0.7	-0.1	0.3459378794010522
fuzzy	--0.7	-0.7	0.34533462362657663
cone	-0.7	-None	0.3440218915149084
cone	-1.0	-None	0.34374513280378244
triang	-0.4	-None	0.34272812721634605
triang	--0.7	-None	0.3425538066627175
triang	-0.1	-None	0.3425538066627175
fuzzy	-1.0	-1.0	0.3419417090591584
fuzzy	-1.0	-0.1	0.3415733319770911
fuzzy	-1.0	-0.4	0.3412287294265322
triang	-0.0	-None	0.3409520120091037
mean	-0.7	-None	0.34063425573326567
triang	--1.0	-None	0.3392320915610435
fuzzy	-1.0	-0.7	0.33912958537662663
fuzzy	-1.0	-0.0	0.33912958537662663
triang	--0.4	-None	0.3375439715181466
mean	-1.0	-None	0.3367496933835167
